iter	Passed	Remaining
0	64	12825
1	132	13113
2	211	13897
3	287	14088
4	352	13760
5	428	13858
6	504	13916
7	578	13883
8	641	13606
9	703	13368
10	763	13120
11	828	12982
12	893	12851
13	955	12699
14	1013	12505
15	1078	12403
16	1139	12269
17	1201	12145
18	1266	12067
19	1329	11961
20	1389	11844
21	1450	11736
22	1515	11663
23	1581	11598
24	1647	11529
25	1712	11458
26	1773	11360
27	1834	11271
28	1898	11197
29	1960	11111
30	2023	11031
31	2087	10959
32	2155	10905
33	2217	10825
34	2283	10764
35	2348	10697
36	2411	10623
37	2475	10554
38	2542	10495
39	2604	10419
40	2669	10351
41	2732	10280
42	2797	10213
43	2857	10131
44	2916	10045
45	2976	9965
46	3039	9895
47	3098	9811
48	3160	9738
49	3224	9673
50	3287	9604
51	3347	9528
52	3410	9458
53	3472	9388
54	3534	9317
55	3596	9248
56	3661	9185
57	3720	9107
58	3784	9044
59	3847	8978
60	3910	8911
61	3974	8845
62	4036	8776
63	4103	8719
64	4161	8642
65	4223	8575
66	4284	8505
67	4347	8438
68	4406	8366
69	4468	8298
70	4530	8231
71	4590	8161
72	4654	8097
73	4718	8034
74	4781	7969
75	4840	7897
76	4900	7828
77	4961	7759
78	5023	7693
79	5090	7635
80	5152	7569
81	5214	7503
82	5275	7436
83	5342	7377
84	5401	7307
85	5465	7245
86	5528	7180
87	5589	7113
88	5652	7049
89	5717	6987
90	5780	6923
91	5844	6861
92	5907	6796
93	5970	6732
94	6028	6662
95	6092	6600
96	6155	6536
97	6218	6472
98	6284	6411
99	6344	6344
100	6406	6279
101	6473	6219
102	6540	6159
103	6603	6095
104	6668	6033
105	6733	5971
106	6797	5908
107	6861	5844
108	6927	5783
109	6997	5725
110	7064	5664
111	7124	5597
112	7190	5536
113	7250	5469
114	7315	5406
115	7380	5344
116	7441	5279
117	7506	5216
118	7567	5151
119	7633	5088
120	7702	5028
121	7776	4971
122	7843	4910
123	7909	4847
124	7973	4784
125	8036	4719
126	8098	4654
127	8158	4589
128	8213	4520
129	8274	4455
130	8337	4391
131	8402	4328
132	8466	4264
133	8527	4200
134	8588	4135
135	8654	4072
136	8718	4009
137	8782	3945
138	8845	3881
139	8910	3818
140	8973	3754
141	9036	3691
142	9097	3626
143	9160	3562
144	9221	3497
145	9283	3433
146	9345	3369
147	9406	3304
148	9465	3239
149	9527	3175
150	9590	3112
151	9654	3048
152	9718	2985
153	9777	2920
154	9839	2856
155	9899	2792
156	9959	2727
157	10022	2664
158	10078	2598
159	10141	2535
160	10202	2471
161	10263	2407
162	10327	2344
163	10390	2280
164	10451	2216
165	10514	2153
166	10576	2089
167	10637	2026
168	10694	1961
169	10753	1897
170	10809	1833
171	10870	1769
172	10934	1706
173	10994	1642
174	11058	1579
175	11117	1516
176	11183	1453
177	11245	1389
178	11307	1326
179	11366	1262
180	11430	1199
181	11494	1136
182	11551	1073
183	11610	1009
184	11670	946
185	11734	883
186	11797	820
187	11860	757
188	11928	694
189	11995	631
190	12066	568
191	12136	505
192	12202	442
193	12273	379
194	12343	316
195	12407	253
196	12480	190
197	12547	126
198	12616	63
199	12682	0
